               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.035662,            0.053995,           0.0039243,             0.71552,             0.40852,              0.4301,             0.25664,             0.03727,            0.060261,           0.0084896,            0.006601,            0.006601,            0.006601
                 105,            0.035699,            0.054531,           0.0040377,             0.74588,             0.39008,             0.43225,             0.25613,              0.0373,            0.060317,           0.0085221,            0.006568,            0.006568,            0.006568
                 106,            0.035443,            0.053443,           0.0039709,             0.72392,             0.38491,             0.42264,             0.25162,            0.037324,            0.060364,           0.0084908,            0.006535,            0.006535,            0.006535
                 107,            0.035358,            0.053487,            0.003885,             0.69295,             0.39815,             0.42203,             0.24971,            0.037353,            0.060553,           0.0085246,            0.006502,            0.006502,            0.006502
                 108,            0.035372,            0.053479,           0.0038962,             0.73181,             0.39532,             0.42692,             0.25304,            0.037335,            0.060504,           0.0084947,            0.006469,            0.006469,            0.006469
                 109,            0.035219,            0.052909,           0.0038982,             0.72811,             0.38826,             0.42676,             0.25518,            0.037364,            0.060511,           0.0084919,            0.006436,            0.006436,            0.006436
                 110,            0.035287,            0.053308,           0.0038145,             0.71205,             0.39692,             0.42181,             0.25372,            0.037366,            0.060625,            0.008547,            0.006403,            0.006403,            0.006403
                 111,            0.035178,            0.053018,           0.0038458,             0.71916,             0.40025,             0.42772,             0.25611,             0.03734,            0.060529,            0.008563,             0.00637,             0.00637,             0.00637
                 112,            0.035131,            0.053382,            0.003816,              0.7217,             0.39027,             0.42034,             0.25585,            0.037305,            0.060631,           0.0085969,            0.006337,            0.006337,            0.006337
                 113,              0.0352,            0.052853,           0.0039423,             0.71177,              0.3915,             0.41984,             0.25461,              0.0373,            0.060615,           0.0085691,            0.006304,            0.006304,            0.006304
                 114,            0.035067,            0.052111,           0.0037149,             0.70924,             0.39247,             0.42181,             0.25698,            0.037276,            0.060599,           0.0085249,            0.006271,            0.006271,            0.006271
